subject_id,account_id,DATE_REPORTED,currency_code,REPAYMENT_FREQUENCY,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DATE_LATEST_PAY_RECEIVED,LAST_AMOUNT_PAID,DATE_ACC_OPEN,DATE_ACC_CLOSE,INSTALMENT_LOAN_TYPE,loan_status,ASSET_CLASSIFICATION,REASON_FOR_CLOSURE,NO_OF_DAYS_PAST_DUE,LOAN_TENURE,EXPECTED_END_DATE_OF_LOAN,CONDITION
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,4700000,1193491,0,119349,28-Dec-17,,11-Nov-13,,ConsumerLoan,Existing,,,0,,11-Nov-18,No
1.10116E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,5000000,7457106,0,138095,28-Dec-17,,19-Jun-17,,ConsumerLoan,Existing,,,0,,28-Jun-22,No
1.10115E+17,2.20113E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,4000000,2033900,0,130000,30-Jan-18,,30-Oct-14,30-Sep-19,BusinessLoan,Existing,,,0,,30-Sep-19,No
1.10114E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,4100000,6275019,0,106356,28-Dec-17,,18-Dec-17,,ConsumerLoan,Existing,,,0,,28-Dec-22,No
1.10114E+17,2.20117E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,10500000,0,792780,200139,25-Oct-17,,24-Nov-16,,BusinessLoan,Existing,,,98,,25-Nov-21,Yes
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,12,21000000,9928758,0,1985752,4-Dec-17,,4-May-17,,BusinessLoan,Existing,,,0,,4-May-18,No
1.10114E+17,2.20117E+15,31-Jan-18,TZS,MonthlyInstalments30Days,6,28410802,0,0,4735134,15-Nov-17,,19-Jun-17,15-Nov-17,BusinessLoan,TerminatedAccordingTheContract,,,0,,7-Jan-18,No
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,1600000,2386274,0,44190,28-Dec-17,,1-Jul-17,,ConsumerLoan,Existing,,,0,,28-Jul-22,No
1.10113E+17,2.20113E+15,31-Jan-18,TZS,MonthlyInstalments30Days,60,2000000,1968197,443786,65100,31-Jan-18,,1-Jan-00,1-Jan-00,BusinessLoan,Existing,,,0,,21-Sep-21,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,12,25000000,18911919,0,2363990,21-Dec-17,,11-Aug-17,,BusinessLoan,Existing,,,0,,11-Aug-18,No
1.10117E+17,2.20117E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,7300000,11492229,0,201618,28-Dec-17,,18-Oct-17,,ConsumerLoan,Existing,,,0,,28-Oct-22,No
1.10116E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,6500000,9904983,0,168614,28-Dec-17,,22-Dec-17,,ConsumerLoan,Existing,,,0,,28-Dec-22,No
1.10116E+17,2.20116E+15,31-Jan-18,TZS,MonthlyInstalments30Days,36,8000000,2845982,0,297309,5-Jan-18,,17-Sep-15,,ConsumerLoan,Existing,,,0,,5-Nov-18,No
1.10117E+17,2.20117E+15,31-Jan-18,TZS,MonthlyInstalments30Days,10,1362128,365128,0,136213,4-Dec-17,,28-Apr-17,,BusinessLoan,Existing,,,0,,5-Mar-18,No
1.10118E+17,2.20118E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,2000000,3009104,0,51881,28-Dec-17,,6-Nov-17,,ConsumerLoan,Existing,,,0,,28-Nov-22,No
1.10114E+17,2.20113E+15,2-Jan-18,TZS,MonthlyInstalments30Days,60,11000000,9217814,0,279328,28-Dec-17,,7-Oct-15,,ConsumerLoan,Existing,,,0,,28-Oct-20,No
